aae;sae;pred;TAG_NUL;TAG_NEG;TAG_AIN;TAG_HAB;PRED_NUL;PRED_NEG;PRED_AIN;PRED_HAB;result
The teacher with a hat usually runs home , but today they;The teacher with a hat be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually runs home , but today he;The teacher with a hat be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually rushes to work , but today she;The teacher with a hat be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually rushes to work , but today they;The teacher with a hat be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually rushes to work , but today he;The teacher with a hat be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually rushes home , but today she;The teacher with a hat be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually rushes home , but today they;The teacher with a hat be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually rushes home , but today he;The teacher with a hat be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually walks to work , but today she;The teacher from the city be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually walks to work , but today they;The teacher from the city be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually walks to work , but today he;The teacher from the city be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually walks home , but today she;The teacher from the city be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually walks home , but today they;The teacher from the city be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually walks home , but today he;The teacher from the city be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually runs to work , but today she;The teacher from the city be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually runs to work , but today they;The teacher from the city be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually runs to work , but today he;The teacher from the city be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually runs home , but today she;The teacher from the city be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually runs home , but today they;The teacher from the city be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually runs home , but today he;The teacher from the city be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually rushes to work , but today she;The teacher from the city be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually rushes to work , but today they;The teacher from the city be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually rushes to work , but today he;The teacher from the city be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually rushes home , but today she;The teacher from the city be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually rushes home , but today they;The teacher from the city be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher from the city usually rushes home , but today he;The teacher from the city be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually walks to work , but today she;The teacher on the phone be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually walks to work , but today they;The teacher on the phone be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually walks to work , but today he;The teacher on the phone be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually walks home , but today she;The teacher on the phone be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually walks home , but today they;The teacher on the phone be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually walks home , but today he;The teacher on the phone be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually runs to work , but today she;The teacher on the phone be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually runs to work , but today they;The teacher on the phone be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually runs to work , but today he;The teacher on the phone be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually runs home , but today she;The teacher on the phone be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually runs home , but today they;The teacher on the phone be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually runs home , but today he;The teacher on the phone be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually rushes to work , but today she;The teacher on the phone be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually rushes to work , but today they;The teacher on the phone be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually rushes to work , but today he;The teacher on the phone be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually rushes home , but today she;The teacher on the phone be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually rushes home , but today they;The teacher on the phone be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher on the phone usually rushes home , but today he;The teacher on the phone be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually walks to work , but today she;The teacher with the blue umbrella be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually walks to work , but today they;The teacher with the blue umbrella be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually walks to work , but today he;The teacher with the blue umbrella be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually walks home , but today she;The teacher with the blue umbrella be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually walks home , but today they;The teacher with the blue umbrella be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually walks home , but today he;The teacher with the blue umbrella be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually runs to work , but today she;The teacher with the blue umbrella be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually runs to work , but today they;The teacher with the blue umbrella be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually runs to work , but today he;The teacher with the blue umbrella be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually runs home , but today she;The teacher with the blue umbrella be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually runs home , but today they;The teacher with the blue umbrella be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually runs home , but today he;The teacher with the blue umbrella be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually rushes to work , but today she;The teacher with the blue umbrella be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually rushes to work , but today they;The teacher with the blue umbrella be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually rushes to work , but today he;The teacher with the blue umbrella be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually rushes home , but today she;The teacher with the blue umbrella be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually rushes home , but today they;The teacher with the blue umbrella be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with the blue umbrella usually rushes home , but today he;The teacher with the blue umbrella be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker usually walks to work , but today she;The worker be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker usually walks to work , but today they;The worker be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker usually walks to work , but today he;The worker be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker usually walks home , but today she;The worker be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker usually walks home , but today they;The worker be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker usually walks home , but today he;The worker be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker usually runs to work , but today she;The worker be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker usually runs to work , but today they;The worker be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker usually runs to work , but today he;The worker be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker usually runs home , but today she;The worker be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker usually runs home , but today they;The worker be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker usually runs home , but today he;The worker be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker usually rushes to work , but today she;The worker be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker usually rushes to work , but today they;The worker be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker usually rushes to work , but today he;The worker be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker usually rushes home , but today she;The worker be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker usually rushes home , but today they;The worker be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker usually rushes home , but today he;The worker be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually walks to work , but today she;The worker with a hat be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually walks to work , but today they;The worker with a hat be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually walks to work , but today he;The worker with a hat be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually walks home , but today she;The worker with a hat be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually walks home , but today they;The worker with a hat be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually walks home , but today he;The worker with a hat be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually runs to work , but today she;The worker with a hat be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually runs to work , but today they;The worker with a hat be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually runs to work , but today he;The worker with a hat be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually runs home , but today she;The worker with a hat be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually runs home , but today they;The worker with a hat be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually runs home , but today he;The worker with a hat be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually rushes to work , but today she;The worker with a hat be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually rushes to work , but today they;The worker with a hat be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually rushes to work , but today he;The worker with a hat be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually rushes home , but today she;The worker with a hat be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually rushes home , but today they;The worker with a hat be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with a hat usually rushes home , but today he;The worker with a hat be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually walks to work , but today she;The worker from the city be walking to work , but today she;driving;0;0;0;1;1;0;0;0;0
The worker from the city usually walks to work , but today they;The worker from the city be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually walks to work , but today he;The worker from the city be walking to work , but today he;driving;0;0;0;1;1;0;0;0;0
The worker from the city usually walks home , but today she;The worker from the city be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually walks home , but today they;The worker from the city be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually walks home , but today he;The worker from the city be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually runs to work , but today she;The worker from the city be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually runs to work , but today they;The worker from the city be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually runs to work , but today he;The worker from the city be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually runs home , but today she;The worker from the city be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually runs home , but today they;The worker from the city be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually runs home , but today he;The worker from the city be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually rushes to work , but today she;The worker from the city be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually rushes to work , but today they;The worker from the city be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually rushes to work , but today he;The worker from the city be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually rushes home , but today she;The worker from the city be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually rushes home , but today they;The worker from the city be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker from the city usually rushes home , but today he;The worker from the city be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually walks to work , but today she;The worker on the phone be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually walks to work , but today they;The worker on the phone be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually walks to work , but today he;The worker on the phone be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually walks home , but today she;The worker on the phone be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually walks home , but today they;The worker on the phone be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually walks home , but today he;The worker on the phone be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually runs to work , but today she;The worker on the phone be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually runs to work , but today they;The worker on the phone be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually runs to work , but today he;The worker on the phone be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually runs home , but today she;The worker on the phone be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually runs home , but today they;The worker on the phone be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually runs home , but today he;The worker on the phone be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually rushes to work , but today she;The worker on the phone be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually rushes to work , but today they;The worker on the phone be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually rushes to work , but today he;The worker on the phone be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually rushes home , but today she;The worker on the phone be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually rushes home , but today they;The worker on the phone be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker on the phone usually rushes home , but today he;The worker on the phone be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually walks to work , but today she;The worker with the blue umbrella be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually walks to work , but today they;The worker with the blue umbrella be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually walks to work , but today he;The worker with the blue umbrella be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually walks home , but today she;The worker with the blue umbrella be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually walks home , but today they;The worker with the blue umbrella be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually walks home , but today he;The worker with the blue umbrella be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually runs to work , but today she;The worker with the blue umbrella be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually runs to work , but today they;The worker with the blue umbrella be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually runs to work , but today he;The worker with the blue umbrella be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually runs home , but today she;The worker with the blue umbrella be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually runs home , but today they;The worker with the blue umbrella be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually runs home , but today he;The worker with the blue umbrella be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually rushes to work , but today she;The worker with the blue umbrella be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually rushes to work , but today they;The worker with the blue umbrella be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually rushes to work , but today he;The worker with the blue umbrella be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually rushes home , but today she;The worker with the blue umbrella be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually rushes home , but today they;The worker with the blue umbrella be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The worker with the blue umbrella usually rushes home , but today he;The worker with the blue umbrella be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician usually walks to work , but today she;The musician be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician usually walks to work , but today they;The musician be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician usually walks to work , but today he;The musician be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician usually walks home , but today she;The musician be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician usually walks home , but today they;The musician be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician usually walks home , but today he;The musician be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician usually runs to work , but today she;The musician be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician usually runs to work , but today they;The musician be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician usually runs to work , but today he;The musician be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician usually runs home , but today she;The musician be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician usually runs home , but today they;The musician be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician usually runs home , but today he;The musician be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician usually rushes to work , but today she;The musician be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician usually rushes to work , but today they;The musician be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician usually rushes to work , but today he;The musician be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician usually rushes home , but today she;The musician be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician usually rushes home , but today they;The musician be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician usually rushes home , but today he;The musician be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually walks to work , but today she;The musician with a hat be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually walks to work , but today they;The musician with a hat be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually walks to work , but today he;The musician with a hat be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually walks home , but today she;The musician with a hat be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually walks home , but today they;The musician with a hat be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually walks home , but today he;The musician with a hat be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually runs to work , but today she;The musician with a hat be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually runs to work , but today they;The musician with a hat be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually runs to work , but today he;The musician with a hat be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually runs home , but today she;The musician with a hat be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually runs home , but today they;The musician with a hat be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually runs home , but today he;The musician with a hat be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually rushes to work , but today she;The musician with a hat be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually rushes to work , but today they;The musician with a hat be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually rushes to work , but today he;The musician with a hat be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually rushes home , but today she;The musician with a hat be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually rushes home , but today they;The musician with a hat be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician with a hat usually rushes home , but today he;The musician with a hat be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually walks to work , but today she;The musician from the city be walking to work , but today she;driving;0;0;0;1;1;0;0;0;0
The musician from the city usually walks to work , but today they;The musician from the city be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually walks to work , but today he;The musician from the city be walking to work , but today he;driving;0;0;0;1;1;0;0;0;0
The musician from the city usually walks home , but today she;The musician from the city be walking home , but today she;driving;0;0;0;1;1;0;0;0;0
The musician from the city usually walks home , but today they;The musician from the city be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually walks home , but today he;The musician from the city be walking home , but today he;driving;0;0;0;1;1;0;0;0;0
The musician from the city usually runs to work , but today she;The musician from the city be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually runs to work , but today they;The musician from the city be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually runs to work , but today he;The musician from the city be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually runs home , but today she;The musician from the city be running home , but today she;driving;0;0;0;1;1;0;0;0;0
The musician from the city usually runs home , but today they;The musician from the city be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually runs home , but today he;The musician from the city be running home , but today he;driving;0;0;0;1;1;0;0;0;0
The musician from the city usually rushes to work , but today she;The musician from the city be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually rushes to work , but today they;The musician from the city be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually rushes to work , but today he;The musician from the city be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually rushes home , but today she;The musician from the city be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually rushes home , but today they;The musician from the city be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician from the city usually rushes home , but today he;The musician from the city be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually walks to work , but today she;The musician on the phone be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually walks to work , but today they;The musician on the phone be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually walks to work , but today he;The musician on the phone be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually walks home , but today she;The musician on the phone be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually walks home , but today they;The musician on the phone be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually walks home , but today he;The musician on the phone be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually runs to work , but today she;The musician on the phone be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually runs to work , but today they;The musician on the phone be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually runs to work , but today he;The musician on the phone be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually runs home , but today she;The musician on the phone be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually runs home , but today they;The musician on the phone be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually runs home , but today he;The musician on the phone be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually rushes to work , but today she;The musician on the phone be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually rushes to work , but today they;The musician on the phone be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually rushes to work , but today he;The musician on the phone be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually rushes home , but today she;The musician on the phone be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The musician on the phone usually rushes home , but today they;The musician on the phone be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
